Name,Academic Year,City,State
Terrence Shannon Jr.,5th,Chicago,Ill.
Sencire Harris,So.,Canton,Ohio
Dra Gibbs-Lawhorn,Fr.,Lafayette,Ind.
Marcus Domask,Gr.,Waupun,Wis.
Justin Harmon,Gr.,Chicago,Ill.
AJ Redd,So.,Chicago,Ill.
Luke Goode,Jr.,Fort Wayne,Ind.
Niccolo Moretti,R-Fr.,Bologna,Italy
Quincy Guerrier,Gr.,Montreal,Quebec
Ty Rodgers,So.,Saginaw,Mich.
Keaton Kutcher,Jr.,Mount Vernon,Iowa
Max Williams,Sr.,Chicago,Ill.
Coleman Hawkins,Sr.,Sacramento,Calif.
Amani Hansberry,Fr.,Silver Spring,Md.
Dain Dainja,R-Jr.,Brooklyn Park,Minn.
