Name,Academic Year,City,State
AJ Storr,So.,Rockford,Ill.
Connor Essegian,So.,Fort Wayne,Ind.
Kamari McGee,Jr.,Racine,Wis.
Tyler Wahl,Gr.,Lakeville,Minn.
Isaac Lindsey,Jr.,Mineral Point,Wis.
Max Klesmit,Jr.,Neenah,Wis.
Luke Haertle,R-Fr.,Hartland,Wis.
Carter Gilmore,Jr.,Hartland,Wis.
Isaac Gard,So.,Oregon,Wis.
Chris Hodges,So.,Schaumburg,Ill.
Steven Crowl,Jr.,Eagan,Minn.
Chucky Hepburn,Jr.,Omaha,Neb.
John Blackwell,Fr.,Bloomfield Hills,Mich.
Ross Candelino,So.,Jacksonville,Fla.
Nolan Winter,Fr.,Lakeville,Minn.
Jack Janicki,Fr.,White Bear Lake,Minn.
Gus Yalden,Fr.,Appleton,Wis.
Markus Ilver,Jr.,Tallinn,Estonia
